,Recation_time,Mn,Mw,pdi,Dpn,Recation_time_round,add_time,Temperature,mode
5388,5400.4,5360.8,6341.72,1.18298,51.4719,5400,0.1,383.15,0
6106,6120.03,5802.62,6812.07,1.17396,55.7141,6120,0.1,383.15,0
6824,6839.57,6217.86,7255.78,1.16693,59.701,6840,0.1,383.15,0
7543,7560.1,6608.99,7675.01,1.1613,63.4565,7560,0.1,383.15,0
8261,8279.67,6976.97,8071.39,1.15686,66.9896,8280,0.1,383.15,0
8979,8999.26,7321.61,8443.49,1.15323,70.2987,8999,0.1,383.15,0
5383,5400.3,6478.62,8135.74,1.25578,62.2047,5400,0.5,383.15,0
6101,6119.65,6970.85,8591.75,1.23253,66.9308,6120,0.5,383.15,0
6820,6840.16,7421.82,9017.92,1.21506,71.2608,6840,0.5,383.15,0
7538,7559.68,7837.4,9415.81,1.20139,75.251,7560,0.5,383.15,0
8257,8280.11,8217.41,9784.36,1.19069,78.8998,8280,0.5,383.15,0
8974,8998.53,8569.19,10127.6,1.18186,82.2774,8999,0.5,383.15,0
5373,5399.98,6501.75,9243.46,1.42169,62.4268,5400,0.9,383.15,0
6092,6120.47,7037.34,9644.74,1.37051,67.5692,6120,0.9,383.15,0
6810,6839.92,7516.62,10025.4,1.33377,72.1711,6840,0.9,383.15,0
7529,7560.35,7951.43,10380.8,1.30553,76.3459,7560,0.9,383.15,0
8247,8279.84,8345.75,10714.3,1.2838,80.132,8280,0.9,383.15,0
8965,8999.26,8707.94,11028.2,1.26645,83.6096,8999,0.9,383.15,0
5364,5400.44,6239.08,10544,1.69,59.9048,5400,1.3,383.15,0
6082,6119.81,6854.96,10847.6,1.58245,65.8181,6120,1.3,383.15,0
6801,6840.28,7394.78,11159.1,1.50905,71.0012,6840,1.3,383.15,0
7519,7559.64,7875.16,11468.8,1.45633,75.6136,7560,1.3,383.15,0
8238,8280.11,8306.76,11764.9,1.41631,79.7577,8280,1.3,383.15,0
8955,8998.63,8695.76,12045.5,1.38521,83.4927,8999,1.3,383.15,0
5352,5399.68,6447.68,12181.6,1.8893,61.9076,5400,1.7,383.15,0
6071,6120.11,6448.03,12243,1.89871,61.911,6120,1.7,383.15,0
6790,6840.45,7074.18,12424.6,1.75634,67.923,6840,1.7,383.15,0
7508,7559.9,7622.33,12646,1.65907,73.186,7560,1.7,383.15,0
8227,8280.31,8106.03,12877.4,1.58862,77.8304,8280,1.7,383.15,0
8944,8998.66,8537.76,13112.7,1.53585,81.9757,8999,1.7,383.15,0
5341,5399.67,7304.43,13880,1.90021,70.1338,5400,2.1,383.15,0
6059,6119.51,7297.33,13952.5,1.912,70.0656,6120,2.1,383.15,0
6778,6839.89,7274.22,14004.2,1.92518,69.8436,6840,2.1,383.15,0
7497,7560.23,7241.89,14039.6,1.93867,69.5332,7560,2.1,383.15,0
8215,8279.71,7793.22,14159.9,1.81695,74.8269,8280,2.1,383.15,0
8933,8999.04,8277.02,14312.1,1.72913,79.4721,8999,2.1,383.15,0
5325,5400.1,8125.21,15601.5,1.92013,78.0145,5400,2.5,383.15,0
6043,6120.31,8097.95,15658.4,1.93362,77.7527,6120,2.5,383.15,0
6761,6840.02,8053.81,15696.5,1.94896,77.329,6840,2.5,383.15,0
7479,7559.64,8000.19,15716.8,1.96455,76.8141,7560,2.5,383.15,0
8198,8280,7941.37,15724.9,1.98012,76.2494,8280,2.5,383.15,0
8916,8999.39,7879.3,15717.6,1.9948,75.6534,8999,2.5,383.15,0
5395,5400.05,8934.3,10522.5,1.17777,85.783,5400,0.1,393.15,0
6114,6119.56,9493.2,11163.5,1.17595,91.1493,6120,0.1,393.15,0
6834,6840.14,9992.3,11738.1,1.17471,95.9414,6840,0.1,393.15,0
7553,7559.73,10436.8,12252.7,1.17399,100.209,7560,0.1,393.15,0
8273,8280.29,10838.4,12718.9,1.1735,104.065,8280,0.1,393.15,0
8991,8998.88,11198.4,13138.2,1.17323,107.522,8999,0.1,393.15,0
5393,5400.21,9870.7,12339.2,1.25008,94.7739,5400,0.5,393.15,0
6112,6119.7,10422.3,12876.8,1.23551,100.07,6120,0.5,393.15,0
6832,6840.26,10901.4,13352.1,1.22481,104.67,6840,0.5,393.15,0
7551,7559.83,11320.3,13773.9,1.21674,108.692,7560,0.5,393.15,0
8271,8280.45,11690.8,14151.8,1.21051,112.25,8280,0.5,393.15,0
8989,8999.02,12017.7,14488.1,1.20557,115.388,8999,0.5,393.15,0
5389,5400.21,9750.28,14173.8,1.45368,93.6177,5400,0.9,393.15,0
6108,6119.75,10361.5,14621.4,1.41112,99.4867,6120,0.9,393.15,0
6828,6840.27,10883.7,15026,1.3806,104.5,6840,0.9,393.15,0
7547,7559.86,11332.2,15387.7,1.35787,108.807,7560,0.9,393.15,0
8267,8280.44,11724.2,15715.7,1.34045,112.571,8280,0.9,393.15,0
8985,8999.01,12066.7,16009.7,1.32676,115.859,8999,0.9,393.15,0
5384,5399.59,9325.76,16522.3,1.77169,89.5416,5400,1.3,393.15,0
6104,6120.11,10065.4,16813.9,1.67047,96.6432,6120,1.3,393.15,0
6823,6839.59,10673.6,17111,1.60311,102.483,6840,1.3,393.15,0
7543,7560.12,11183.1,17392.9,1.55529,107.375,7560,1.3,393.15,0
8262,8279.67,11617.8,17654.3,1.51959,111.549,8280,1.3,393.15,0
8981,8999.22,11992.6,17892.3,1.49194,115.148,8999,1.3,393.15,0
5378,5399.92,9649.1,19414.6,2.01207,92.6462,5400,1.7,393.15,0
6098,6120.4,9452.17,19368,2.04905,90.7554,6120,1.7,393.15,0
6817,6839.95,10207.9,19451.3,1.90551,98.0114,6840,1.7,393.15,0
7537,7560.47,10819.5,19592.7,1.81088,103.883,7560,1.7,393.15,0
